id,value
hpe,41087
bladesystem,21616
strategy,21540
hpe bladesystem,21531
data,13555
management,13550
infrastructure,11724
cloud,11312
time,11294
right,11218
workloads,11191
platform,11167
systems,11103
oneview,11048
speed,11048
hpe oneview,11024
computing,10981
operations,10973
blade,10945
powerful,10937
agility,10915
optimize,10911
like,10906
build,10896
big,10894
big data,10885
advantage,10875
demands,10865
technologies,10841
combined,10839
today,10830
path,10818
takes,10799
management platform,10795
demand,10790
cloud computing,10782
mobility,10780
step,10779
composable,10770
convenience,10764
composable infrastructure,10761
start,10760
blade systems,10753
disruptive,10752
streamline,10750
path composable,10750
takes advantage,10748
technologies like,10747
oneview management,10747
path composable infrastructure,10747
hpe oneview management,10747
trying,10746
powerful hpe,10746
start path composable,10745
operations optimize,10745
time demands,10745
bladesystem combined powerful,10745
operations optimize demand,10745
management platform streamline,10745
today trying,10745
trying build,10745
build strategy,10745
mobility cloud computing,10745
advantage disruptive technologies,10745
disruptive technologies like,10745
demands convenience speed,10745
data time demands,10745
agility hpe,10745
workloads start,10745
demand workloads,10745
step operations optimize,10745
optimize demand workloads,10745
streamline step operations,10745
build strategy takes,10745
combined powerful hpe,10745
optimize demand,10745
convenience speed agility,10745
hpe bladesystem combined,10745
combined powerful,10745
advantage disruptive,10745
like mobility,10745
data time,10745
step operations,10745
disruptive technologies,10745
convenience speed,10745
time demands convenience,10745
mobility cloud,10745
powerful hpe oneview,10745
bladesystem combined,10745
cloud computing big,10745
demand workloads start,10745
strategy takes,10745
computing big,10745
right strategy,10745
speed agility,10745
workloads start path,10745
trying build strategy,10745
like mobility cloud,10745
strategy takes advantage,10745
platform streamline step,10745
computing big data,10745
platform streamline,10745
today trying build,10745
demands convenience,10745
technologies like mobility,10745
big data time,10745
oneview management platform,10745
speed agility hpe,10745
agility hpe bladesystem,10745
takes advantage disruptive,10745
streamline step,10745
start path,10745
power,4068
network,2941
performance,2901
server,2781
switch,2190
series,2011
support,1984
features,1887
provides,1548
rack,1532
center,1343
proliant,1323
ports,1274
enterprise,1271
access,1265
security,1231
software,1209
switch series,1190
servers,1183
storage,1165
service,1112
supports,1042
options,1032
hpe proliant,1014
capacity,997
provide,988
data center,973
advanced,970
high,938
drives,926
applications,921
gen9,844
application,796
models,791
delivers,760
configuration,755
available,742
monitoring,740
ethernet,736
