id,value
huawei,1371
data,873
solution,720
network,691
enterprise,574
digital,539
cloud,478
management,467
transformation,462
digital transformation,435
2017,420
center,415
online,406
service,403
huawei enterprise,385
power,301
support,300
security,292
data center,289
solutions,289
storage,262
provide,257
platform,256
applications,227
provides,221
access,219
networks,210
systems,208
performance,206
smart,202
information,198
partners,198
customers,187
efficiency,186
computing,182
ict,180
technology,170
high,166
video,163
technologies,162
global,158
centers,156
based,151
control,148
supports,148
including,146
infrastructure,143
intelligent,141
agile,140
time,140
architecture,139
open,138
wireless,136
deployment,135
enterprises,134
server,131
devices,131
costs,129
requirements,126
products,126
data centers,125
iot,121
software,118
maintenance,115
resource,115
experience,115
efficient,115
public,108
series,108
use,107
unified,107
challenges,107
reliability,106
build,105
development,105
design,104
production,103
mobile,102
application,102
user,102
features,102
following,100
users,98
big,98
capacity,97
campus,96
v3,96
analysis,95
core,95
customer,94
traditional,94
office,94
integrated,93
using,92
improve,91
virtual,89
capabilities,88
big data,88
servers,87
internet,86
deployed,84
partner,83
used,82
remote,82
ensure,82
innovative,82
flexible,82
switches,81
multiple,80
benefits,79
safe,79
program,79
leading,78
enables,78
bandwidth,77
operations,77
hardware,76
companies,76
needed,75
cloud computing,75
operation,74
uses,74
english,73
monitoring,73
reliable,73
provide support,72
comprehensive,72
different,72
meet,72
language,72
virtualization,71
line,71
sdn,71
building,71
product,70
ge,70
device,69
key,69
future,68
number,67
protection,67
intel,66
ecosystem,66
processing,65
enable,65
terminals,64
platforms,64
addition,64
communication,64
consumption,63
wi-fi,63
