id ,value
digital transformation,435
data center,414
big data,88
cloud computing,75
cloud data,51
public safety,45
video surveillance,33
network management,32
network solution,32
intel xeon,30
cloud platform,28
ICT infrastructure,28
data analytics,27
desktop cloud,27
center network,26
ICT solutions,25
security protection,25
agile controller,25
internet things,24
cloud fabric,24
enterprise network,24
wireless network,24
modular data,23
unified management,23
cloud solution,22
wired wireless,21
Connected Lighting,20
disaster recovery,20
compute node,20
storage systems,19
rack server,19
security management,18
cloud management,18
digital economy,18
network architecture,18
resource utilization,18
information technology,17
agile network,17
code conduct,17
data security,16
campus networks,16
virtual machine,16
video conferencing,16
fountain data,16
high-performance computing,15
network security,15
software-defined networking,15
data solution,15
smart grid,15
agile gateways,14
public security,14
data storage,14
data collection,14
SAP HANA,13
computing storage,13
advanced metering,13
centralized management,13
metering infrastructure,13
storage capacity,13
compute nodes,13
open platform,12
cloud storage,12
edge computing,12
huawei technologies,12
intelligent management,12
solutions provider,12
data processing,12
resource pool,12
e5-2600 v3/v4,12
computing performance,12
RH5885 v3,12
network planning,12
voice video,12
information security,12
Xeon e5-2600,12
cloud service,12
core switches,12
networking SDN,12
FusionCloud desktop,11
Command Center,11
blade server,11
open source,11
smart data,11
open architecture,11
storage network,10
hard disks,10
OceanStor 9000,10
storage devices,10
public cloud,10
Fabric Insight,10
AMI solution,10
computing HPC,10
PaaS kernel,10
data loss,10
agile IoT,10
IoT gateway,10
ICT products,10
network devices,10
V3 rack,10
swift LIU,9
