id,value
netapp,15933
data,10014
storage,7291
manager,4614
director,3403
administrator,3180
value,3099
customer,2943
use,2922
partners,2900
cloud,2895
organizations,2686
option,2611
products,2600
ontap,2499
program,2399
sales,2387
marketing,2372
personal,2224
selected,2179
personal data,2179
marketing sales,2113
procurement,2101
surveys,2095
sales organizations,2094
solutions,2094
marketing sales organizations,2093
non-technical,2093
netapp selected,2080
use personal,2077
manager manager,2075
use personal data,2075
authorize,2074
partners use,2074
netapp selected partners,2073
selected partners use,2073
selected partners,2073
partners use personal,2073
authorize netapp selected,2073
authorize netapp,2073
customers,2038
center,1959
tech,1846
management,1725
data center,1715
software,1666
president,1658
best,1642
access,1611
performance,1599
vice,1575
backup,1574
vice president,1571
technical,1539
information,1436
process,1419
infrastructure,1411
database,1381
executive,1332
sciences,1329
tools,1270
news,1258
events,1254
technology,1249
application,1249
systems,1215
role,1203
join,1201
retail,1196
practices,1196
netapp products,1188
order,1183
staff,1167
solution,1163
engineering,1160
flash,1160
job,1159
best practices,1159
netapp netapp,1148
time,1141
updated,1134
architect,1133
managing,1114
tech ontap,1110
promotions,1106
updated netapp,1105
products promotions news,1105
promotions news,1105
netapp products promotions,1105
products promotions,1105
updated netapp products,1104
events marketing,1101
events marketing sales,1101
data order,1091
surveys events,1090
order updated netapp,1090
surveys events marketing,1090
news surveys,1090
promotions news surveys,1090
data order updated,1090
news surveys events,1090
personal data order,1090
developer,1072
tips,1056
consultant,1055
director data,1051
c-level,1050
director data center,1050
storage administrator,1049
database administrator,1049
c-level executive,1048
backup administrator,1048
manager storage,1046
director non-technical,1045
staff procurement,1045
manager procurement,1045
job role,1043
company,1039
procurement manager,1037
manager procurement manager,1037
director director,1037
center director,1037
data center director,1037
exclusive,1034
purpose,1030
executive consultant,1029
non-technical staff,1029
administrator manager manager,1029
consultant database administrator,1029
non-technical technical,1029
administrator developer,1029
manager manager procurement,1029
consultant database,1029
manager manager manager,1029
director director data,1029
non-technical staff procurement,1029
center director non-technical,1029
administrator manager,1029
administrator developer director,1029
architect backup,1029
storage non-technical,1029
storage administrator manager,1029
manager storage non-technical,1029
database administrator developer,1029
c-level executive consultant,1029
developer director,1029
director non-technical staff,1029
procurement storage,1029
procurement storage administrator,1029
