keywords,value
old,84
customer,81
close,74
data,74
opp,74
old opp,54
close dates,52
dates,52
past,49
opp close,49
old opp close,49
capacity,46
close dates past,46
emc,46
dates past,46
opp close dates,46
dd,43
backup,37
team,33
opps,32
account,29
dq,27
opportunity,27
protection,26
data protection,26
avamar,26
isilon,25
dps,25
domain,24
win,24
upgrade,24
data domain,24
environment,23
deal,21
sent,20
subject,20
refresh,19
existing,19
great,18
dup,18
netapp,18
support,17
archive,17
sales,17
solution,17
2015,17
opportunities,16
expansion,16
dpad,15
solutions,14
core,14
thanks,14
division,14
partner,13
able,13
commvault,13
old opps,13
budget,12
replace,11
dps support,11
storage,11
project,11
different,11
use,11
emc data,11
purchased,11
performance,11
years,10
emc data protection,10
salesforce,10
sw,10
footprint,10
brs,10
request,10
networker,10
case,10
availability,10
operations,10
required,10
worked,9
brs sales operations,9
sales operations,9
centera,9
manager,9
won,9
expand,9
growth,9
upgrading,9
additional,9
brs sales,9
account manager,9
salesforce dps support,8
opp https,8
year,8
company,8
mobile,8
closing,8
chosen,8
path,8
different backup,8
backup path,8
campaign,8
duplicate,8
process,8
chosen different backup,8
different backup path,8
site,8
2014,8
emc.com,8
work,8
customer chosen different,8
protection solutions,8
backup path upgrading,8
data protection solutions,8
path upgrading,8
customer chosen,8
chosen different,8
salesforce dps,8
request dq,7
long,7
tech refresh,7
op-https,7
protection availability,7
platform,7
tape,7
given,7
suite,7
complete,7
tech,7
thursday,7
data protection availability,7
target,7
sent thursday,7
great win,7
date,7
thank,7
position,7
2016,7
add,7
scott,7
county,7
dup op-https,7
hp,7
closed,7
senior account,6
request dq cindy,6
dq cindy,6
james,6
mass,6
dates 12/27/2018,6
ps,6
subject dq,6
dq cindy spring,6
continue,6
including,6
currently,6
spring,6
relationship,6
buying,6
needed,6
dup op-,6
dup op- https,6
march,6
cindy,6
shawn,6
arsenault,6
12/27/2018,6
following,6
2017,6
remove,6
senior account manager,6
op- https,6
based,6
op-,6
mass dq,6
mark,6
cindy spring,6
sale,6
senior,6
bahde,6
hayes,6
old opportunity,6
help,6
dr,6
close dates 12/27/2018,6
hardware,6
challenges,6
hi,6
availability division,6
protection availability division,6
sears,6
place,5
oracle,5
veeam,5
started,5
network,5
dedup,5
nodes,5
dd4200,5
effort,5
cases,5
dell emc,5
dup opp,5
reg,5
license,5
created,5
software,5
purchase,5
capacity expansion,5
addressed,5
monday,5
drive,5
lost,5
actifio,5
22,5
recently,5
ops,5
van,5
working,5
se,5
standard,5
uk,5
dell,5
duplicate opp,5
dedupe,5
dell.com,5
trace3,5
dell emc data,5
close date,5
implementation,5
cc,5
capacity add,5
high,5
technical,5
make,5
decided,5
look,5
recovery,5
10,5
symantec,5
service,5
time,5
good,5
vs,5
sent monday,5
tv,4
pbba,4
requirement,4
sfdc,4
cesar,4
//na19.salesforce.com/006a0000017rad2,4
la,4
stephen,4
rahis,4
van kessel,4
information,4
game,4
bank,4
upgrade networker,4
celerra,4
11,4
power,4
forward,4
refreshed,4
oppties,4
hi team,4
old opportunities,4
lead,4
right,4
impact,4
la torre,4
recoverpoint,4
geo,4
selling,4
hold,4
multiple,4
migrations,4
ongoing,4
space,4
torre,4
foot,4
cost,4
sony,4
following opportunities,4
44,4
swap,4
q1,4
adding,4
plan,4
dd customer,4
months,4
cio,4
sold,4
kessel,4
vplex,4
floor,4
worked team,4
dq following opportunities,4
ago,4
config,4
regards,4
cci,4
iberdrola,4
kersh,4
primary,4
pm,4
james van kessel,4
tco,4
dq following,4
cycle,4
additional capacity,4
netbackup,4
https //na19.salesforce.com/006a0000017rad2,4
3,4
james van,4
jared,4
fl,4
small,4
sales cycle,4
use case,4
order,4
nbu,4
stay,4
continuing,4
leveraged,4
avamar upgrade,4
intended,4
deduplication,4
systems,4
need,4
manmit,4
2015 11,4
location,4
title,4
delete,4
arsenault scott,4
funding,4
aos,4
carl,4
limited,4
backups,4
protect,4
migration,4
moved bunch old,3
head,3
sent wednesday,3
mobile 443.617.8099,3
replacing,3
won deal,3
dates 12/27/2018 delete,3
job,3
thursday march 09,3
entire,3
ve,3
datadomain,3
grow,3
england,3
dd footprint,3
avamar dd,3
strategy,3
mass dq old,3
monday october 26,3
mark strelitz,3
old opportunities created,3
build,3
minutes remove attached,3
date 2014,3
26 2015 11,3
12,3
best,3
executive england,3
sr,3
competitor,3
end,3
executive,3
minutes,3
going,3
12/27/2018 delete,3
allergan,3
uses,3
taking,3
moving,3
26 2015,3
questions,3
ve moved,3
09 2017 03,3
moved,3
978 407-3204,3
installed,3
july,3
https //na19.salesforce.com/006a0000016hryv,3
expanded,3
engineering,3
value,3
dq old,3
2017 03,3
dup opp https,3
dpa,3
opp owner suppose,3
created started,3
978,3
sell,3
delete opportunities,3
support mass dq,3
opportunities close dates,3
operational,3
q2,3
company close,3
880's,3
attached,3
opportunities close,3
minutes remove,3
expand isilon,3
net,3
specialist,3
started company close,3
wednesday,3
excellent,3
helped,3
strelitz,3
price,3
bahde stephen,3
prior,3
setup,3
tuesday,3
october,3
remove opps,3
dd990,3
protection solutions division,3
positioned,3
opportunities created,3
dps support mass,3
justify,3
shawn sears,3
owner suppose opps,3
old opp owner,3
dd capacity,3
using,3
capex,3
issues,3
shawn.sears,3
teradata,3
sent monday october,3
able sell,3
cloud,3
subject remove,3
provide,3
use cases,3
acosta,3
attached opportunities,3
leading,3
resident,3
strategic,3
op- https //na19.salesforce.com/006a0000016hryv,3
created started company,3
october 26 2015,3
cordone jennifer,3
presented,3
coming,3
cordone,3
expanding,3
closing opportunity,3
delete opportunities close,3
nw,3
solutions division,3
remove attached opportunities,3
attached opportunities sfdc,3
scale,3
away,3
cc cordone jennifer,3
optimize,3
steve bahde,3
expired,3
management,3
vp,3
stephen.bahde emc.com,3
establish,3
eosl,3
way,3
jennifer,3
opportunities sfdc,3
support mass,3
nice,3
center,3
thursday march,3
owner suppose,3
company close dates,3
engagement,3
portfolio,3
dq old opps,3
concern,3
account executive,3
reg expired,3
remove attached,3
discussions,3
consolidated,3
bunch old,3
sears shawn,3
