id,value
netapp,116921
data,78862
storage,59039
cloud,27638
ontap,24947
data ontap,19321
solutions,19295
solution,17654
customers,17333
performance,17276
center,15865
management,15704
clustered,15397
information,15381
flash,15203
manager,14285
clustered data,14277
results,13691
technology,13230
clustered data ontap,12806
software,12796
using,12712
best,12686
infrastructure,12394
10,12079
oracle,11673
flexpod,11517
products,11342
use,11276
date,11124
cisco,10752
data center,10138
partners,10134
title,10124
cache,10024
newest,9925
oldest,9837
enterprise,9777
systems,9775
practices,9599
provide,9251
support,9165
applications,9060
director,9036
provides,9031
microsoft,8980
report,8851
organizations,8751
technical,8673
customer,8565
service,8492
application,8413
design,8396
program,8222
vmware,8214
best practices,8199
efficiency,8151
value,8099
virtual,8073
secure,7968
administrator,7810
architecture,7783
database,7441
president,7358
trademarks,7337
environments,7292
available,7181
help,7178
sales,7176
time,6835
25,6823
marketing,6807
netapp clustered,6783
server,6687
backup,6686
describes,6652
netapp clustered data,6632
st,6610
deliver,6599
platform,6598
vice,6579
access,6463
company,6440
operations,6404
flash cache,6367
network,6361
work,6352
providers,6157
100,6144
netapp's,6056
needs,5952
partner,5893
including,5796
deployment,5789
cost,5776
ability,5720
data management,5698
need,5638
faster,5596
50,5596
option,5529
companies,5509
netapp storage,5482
citrix,5463
2016,5450
year,5427
environment,5332
requirements,5328
page,5255
personal,5168
graphics,5137
non-technical,4981
procurement,4979
vice president,4965
selected,4954
/option,4938
pool,4918
sort,4917
relevance,4914
descending,4911
ascending,4911
newest title ascending,4907
oldest newest title,4907
relevance date newest,4907
oldest newest,4907
ascending title descending,4907
newest oldest,4907
ascending title,4907
date newest oldest,4907
date newest,4907
newest title,4907
relevance date,4907
oldest date oldest,4907
title ascending title,4907
title ascending,4907
newest oldest date,4907
oldest date,4907
results page,4907
date oldest newest,4907
title descending,4907
date oldest,4907
2012,4900
considerations,4892
10 25,4885
results page 10,4880
25 50,4880
10 25 50,4880
sort relevance date,4880
page 10 25,4880
page 10,4880
sort relevance,4880
results 10,4847
50 100,4697
50 100 sort,4682
100 sort relevance,4682
100 sort,4682
25 50 100,4682
configuration,4638
7-mode,4635
flash pool,4633
world,4579
product,4578
staff,4564
datacenter,4546
surveys,4534
virtualization,4479
implementation,4477
able,4420
authorize,4399
technologies,4389
2015,4378
operating,4361
private,4339
grid,4339
costs,4331
integrated,4326
protection,4311
workloads,4277
high,4270
fibre,4243
million,4240
running,4240
reduce,4227
development,4201
u.s,4189
increase,4189
news,4171
shared,4155
guide,4141
tech,4137
executive,4129
netapp netapp,4123
unified,4117
flexpod datacenter,4099
xendesktop,4080
meet,4034
nfs,4002
citrix xendesktop,3975
today,3966
create,3963
delivering,3960
innovative,3950
copies,3946
nvidia,3926
allows,3916
2013,3904
process,3904
nvidia grid,3901
xendesktop nvidia,3899
xendesktop nvidia grid,3899
citrix xendesktop nvidia,3898
flexpod datacenter citrix,3898
datacenter citrix xendesktop,3898
datacenter citrix,3898
nvidia grid solution,3896
grid solution,3896
commvault,3871
said,3867
important,3858
computing,3850
registered,3799
global,3792
accelerate,3747
events,3744
benefits,3722
deduplication,3716
way,3678
overview,3660
growth,3657
features,3654
manage,3575
tools,3565
storage data,3565
provider,3559
availability,3551
netapp data,3536
make,3521
key,3516
recovery,3507
technical report,3497
professional,3490
learn,3486
success,3478
helps,3439
helping,3411
offer,3401
university,3397
intellisnap,3384
great,3383
storage data management,3380
intellisnap netapp,3372
commvault intellisnap,3372
commvault intellisnap netapp,3372
appliance,3363
join,3347
oracle database,3322
role,3289
measure,3281
fc,3278
architectural,3275
hybrid,3271
integration,3269
mar,3266
files,3253
document,3248
share,3219
managing,3215
tips,3197
offers,3185
sciences,3180
rac,3167
efficient,3166
verified,3158
country,3154
enables,3150
security,3144
vsphere,3138
content,3135
mirantis,3122
order,3120
deploying,3107
eliminate,3094
based,3091
16,3085
job,3080
operational,3060
engineering,3051
architect,3051
location,3034
considerations best practices,3032
considerations best,3032
rapid,3029
design considerations,3013
providing,2981
enable,2981
keeling,2967
malvinas,2967
rac using,2964
pcs,2961
leading,2957
registered trademarks,2950
release,2948
ethernet,2942
11g,2940
vmware vsphere,2932
fast,2929
updated,2891
future,2858
hardware,2851
capacity,2843
iscsi,2843
marketing sales,2833
nasdaq,2831
manager manager,2831
innovation,2818
flexibility,2818
infrastructures,2813
capabilities,2802
build,2787
team,2784
view,2782
exchange,2779
large,2763
high-performance,2759
compression,2758
data protection,2757
developer,2741
fcoe,2739
european,2739
personal data,2733
inside,2726
trademarks registered,2725
trademarks registered trademarks,2719
promotions,2716
openstack,2697
oncommand,2696
solution allows,2696
feb,2689
union,2676
users,2674
fiscal,2661
yes,2659
obj,2638
eliminate need,2628
endobj,2624
monetary,2620
statements,2619
network appliance,2619
improve,2611
remains,2602
paper,2601
inside data,2599
passion,2598
sales organizations,2597
grid solution allows,2596
secure inside data,2596
solution allows important,2596
files flexpod,2596
inside data center,2596
files flexpod datacenter,2596
secure inside,2596
allows important,2596
cloud platform,2595
marketing sales organizations,2588
web,2588
cisco netapp,2584
disk,2574
consultant,2570
interactive,2566
webcast,2564
windows,2556
purpose,2555
microsoft cloud,2552
clinical,2550
c-level,2549
management solutions,2545
relationship,2538
retail,2533
virtualized,2532
microsoft cloud platform,2521
cca,2520
cca microsoft cloud,2518
cca microsoft,2518
public,2515
ontap software,2511
non-gaap,2511
cloud architecture,2498
volumes,2497
employees,2497
service providers,2493
enterprises,2487
drive,2486
group,2481
www.netapp.com,2481
options,2479
highly,2477
community,2476
sap,2473
states,2473
delivery,2470
storage systems,2456
16 2015,2449
remains secure,2442
mar 16,2441
mar 16 2015,2441
ntap,2433
option value,2432
production,2429
times,2427
/option option,2422
/option option value,2422
lower,2411
current,2406
actual,2400
,2387
described,2372
strategic,2365
netapp selected,2361
consumer,2360
countries,2358
cisco cloud architecture,2356
cisco cloud,2356
use personal,2355
designed,2347
use personal data,2342
experience,2335
partnership,2334
outstanding,2332
partners use,2329
authorize netapp,2324
partners use personal,2324
selected partners use,2324
authorize netapp selected,2324
netapp selected partners,2324
selected partners,2324
desktops,2315
netapp flash,2291
internet,2281
exclusive,2276
place,2275
file,2250
intelligent,2249
storage solutions,2227
data management solutions,2225
sunnyvale,2225
announced,2218
clients,2213
0,2209
discover,2205
and/or,2198
include,2195
cluster,2193
netapp solution,2192
using netapp,2187
data compression,2179
health,2170
interviews,2160
quarter,2159
flexible,2153
dr,2151
contains,2150
visit,2148
servers,2147
calif,2147
achieve,2147
deployed,2142
fas,2130
gains,2128
protocol,2117
response,2112
scale,2110
iops,2104
read,2101
required,2099
live,2095
nasdaq ntap,2087
brought,2087
r2,2085
direct,2078
plan,2077
contact,2070
number,2063
creates,2059
successful,2058
critical,2051
addition,2036
introduction,2032
fiscal year,2032
behind-the-scenes,2027
caching,2020
real,2017
worldwide,2013
works,2009
netapp products,2001
deploy,2000
basic,1999
hi,1996
keeping,1993
st st,1991
hybrid cloud,1989
19,1983
means,1982
power,1982
lab,1981
video,1975
single,1974
netapp data compression,1967
agility,1965
3d,1959
value /option,1958
netapp cisco,1956
code,1955
property,1945
value /option option,1943
started,1941
breakthroughs,1933
delivers,1933
demonstrate,1931
better,1929
analyst,1927
logo,1925
option value /option,1921
discusses,1916
d.c,1915
conference,1912
country keeling,1911
p.m,1911
details,1908
desktop,1906
machines,1899
steps,1893
sizes,1890
validated,1885
arrays,1885
open,1883
respective,1881
understanding,1880
multi-tenancy,1877
simplified,1870
getting,1869
validation,1865
engineers,1863
big,1857
adding,1853
workload,1851
existing,1849
greater,1841
devices,1840
2011,1836
mr,1827
list,1820
compression deduplication,1817
company's,1815
ms,1808
firm,1806
scalability,1804
rates,1802
1,1801
technology describes,1800
portfolio,1797
fibre fc,1791
event,1790
data compression deduplication,1787
passion helping,1785
virtual machines,1785
data ontap software,1784
0,1782
effectiveness,1778
innovative storage,1777
foundation,1771
additional,1771
secure multi-tenancy,1768
used,1767
serves,1764
material,1761
storage efficiency,1760
includes,1753
growing,1751
individual,1751
esg,1747
reseller,1746
nfsv4,1746
aggregates,1738
european monetary,1737
european monetary union,1737
monetary union,1737
electronic,1732
u.s european monetary,1732
u.s european,1732
innovative storage data,1721
effective,1720
configuration options,1716
cost efficiency,1714
newfoundland,1711
essential,1710
trends,1703
highly available,1702
covers,1701
running netapp,1700
provisioning,1700
sunnyvale calif,1700
jointly,1698
explores,1694
getting started,1693
remain,1692
leaders,1691
disaster,1689
explains,1689
2,1689
describes basic,1687
options getting started,1685
technology describes basic,1685
solution contains overview,1685
getting started commvault,1685
document introduction,1685
introduction commvault,1685
intellisnap netapp solution,1685
started commvault,1685
contains overview technology,1685
basic configuration options,1685
basic configuration,1685
introduction commvault intellisnap,1685
document introduction commvault,1685
netapp solution contains,1685
contains overview,1685
solution contains,1685
overview technology describes,1685
configuration options getting,1685
describes basic configuration,1685
started commvault intellisnap,1685
overview technology,1685
options getting,1685
enterprise-class,1685
2014,1684
today's,1683
3d graphics,1679
11,1678
professional 3d,1677
professional 3d graphics,1677
netapp nasdaq ntap,1675
prepared,1675
netapp nasdaq,1675
intelligent caching,1673
challenges,1672
outstanding cost,1672
stream,1672
term,1667
commitment,1666
8.3,1664
companies world,1662
patient,1662
using netapp storage,1661
dynamic,1660
outstanding cost efficiency,1659
oracle rac,1658
accelerate breakthroughs,1658
intellectual,1653
senior,1652
ontap 8.3,1649
helping companies,1649
leverage,1648
applying,1647
centers,1646
data ontap 8.3,1646
strategy,1646
fibre ethernet,1644
creates innovative,1641
7,1641
methodologies,1639
creates innovative storage,1637
snapshot,1637
statistics,1635
response times,1635
world faster,1633
leader,1633
deduplication clustered,1629
post,1629
simplify,1629
modules,1627
deduplication clustered data,1627
data ontap deployment,1627
compression deduplication clustered,1627
ontap deployment,1627
virtual volumes,1626
transformation,1625
forward-looking,1624
helping companies world,1621
passion helping companies,1621
intellectual property,1620
netapp integrated,1620
netapp creates,1619
companies world faster,1617
updated netapp,1616
netapp creates innovative,1615
site,1613
30,1609
world faster www.netapp.com,1608
faster www.netapp.com,1608
workloads netapp,1607
cloud computing,1607
ethernet fcoe,1606
products promotions news,1605
products promotions,1605
promotions news,1605
netapp products promotions,1605
effect,1604
control,1604
architectural design,1602
updated netapp products,1602
built,1597
years,1594
class,1591
netapp netapp creates,1590
end,1589
refers,1587
profit,1586
fibre ethernet fcoe,1586
volumes netapp,1585
events marketing sales,1582
events marketing,1582
utilization,1582
cable,1579
netapp able,1577
broadcast,1577
numerous,1577
cloud using,1576
deliver outstanding,1575
able provide,1571
oltp,1570
compliance,1569
esg lab,1569
vsphere virtual,1569
02 2016,1568
studios,1568
shared infrastructures,1568
ibm,1568
practices deployment,1567
virtual volumes netapp,1567
best practices deployment,1567
vsphere virtual volumes,1566
vmware vsphere virtual,1566
compares,1565
create highly,1563
cloud using netapp,1563
volumes netapp clustered,1563
architectural considerations,1562
applying vmware vsphere,1562
applying vmware,1562
storage architectural design,1561
create highly available,1561
kilo-based,1561
tr-4478 describes architectural,1561
feb 02,1561
architectural design described,1561
design described,1561
7.0 kilo-based cloud,1561
openstack 7.0 kilo-based,1561
netapp tr-4478 describes,1561
describes architectural,1561
alliance,1561
mirantis openstack,1561
jointly mirantis unlocked,1561
describes architectural considerations,1561
prepared jointly mirantis,1561
prepared jointly,1561
openstack 7.0,1561
kilo-based cloud using,1561
deployment methodologies,1561
architectural considerations best,1561
unlocked,1561
kilo-based cloud,1561
netapp tr-4478,1561
unlocked netapp tr-4478,1561
7.0 kilo-based,1561
described verified,1561
tr-4478,1561
netapp storage architectural,1561
unlocked netapp,1561
available mirantis openstack,1561
jointly mirantis,1561
practices deployment methodologies,1561
highly available mirantis,1561
available mirantis,1561
tr-4478 describes,1561
design described verified,1561
mirantis unlocked,1561
feb 02 2016,1561
mirantis openstack 7.0,1561
storage architectural,1561
mirantis unlocked netapp,1561
methodologies create,1561
deployment methodologies create,1561
methodologies create highly,1561
unless,1557
shipping,1550
running netapp clustered,1550
predictive,1548
enabling,1543
deliver outstanding cost,1541
comparison,1541
entertainment,1539
nov,1538
nas,1538
monitoring,1536
netapp flash pool,1535
cloud ontap,1535
cache flash,1534
risk,1534
focused,1533
storage virtual,1533
private cloud,1532
flash cache flash,1529
fast response,1528
raw,1527
trademarks netapp,1526
isolation,1525
lab validation,1522
transportation,1521
apr,1520
million iops,1519
19 2013,1519
high data,1519
specified,1518
validation report,1518
variety,1516
using storage,1514
ontap 7-mode,1513
data ontap 7-mode,1513
lab validation report,1513
svms,1513
esg lab validation,1512
able demonstrate,1511
provide fast,1510
performance gains,1510
covering,1510
fast response times,1510
explores netapp,1509
8.1.1,1508
rate,1507
31,1506
using flexpod,1505
cisco able,1505
data rates,1504
read cache,1502
provide fast response,1502
times high,1501
flexpod high-performance,1501
cache modules,1501
discrete,1501
response times high,1501
flash cache modules,1500
database using,1499
brands,1499
report explores netapp,1498
report explores,1498
oracle workloads,1498
validation report explores,1498
netapp cisco able,1497
actual oracle,1497
rates oracle database,1497
oracle rac using,1497
able demonstrate million,1497
using flexpod high-performance,1497
2010,1497
cisco able provide,1497
times high data,1497
high-performance oracle rac,1497
high-performance oracle,1497
data rates oracle,1497
rac using actual,1497
netapp able demonstrate,1497
using actual,1497
flexpod high-performance oracle,1497
actual oracle workloads,1497
database using flexpod,1497
demonstrate million,1497
oracle workloads netapp,1497
workloads netapp able,1497
explores netapp cisco,1497
high data rates,1497
demonstrate million iops,1497
able provide fast,1497
using actual oracle,1497
oracle database using,1497
rates oracle,1497
data ontap 8.1.1,1495
ontap 8.1.1,1495
advanced,1492
integrator,1492
flash pool technology,1490
multiple,1490
businesses,1490
storage virtual machines,1490
differences,1490
real application,1490
ontap operating,1490
pool technology,1490
insight,1489
set,1489
performance oracle,1487
ing,1486
working,1485
pool intelligent,1482
pool intelligent caching,1482
flash pool intelligent,1482
secondary,1480
recognized,1480
use best,1478
offer ability,1476
emulate,1476
virtual machines svms,1476
machines svms,1476
fc fibre ethernet,1475
fc fibre,1475
successful implementation,1475
fibre fc fibre,1475
practices design,1474
01 2012,1474
technology works,1474
best practices design,1474
features best,1473
works use,1473
designers,1472
application cluster,1472
application cluster rac,1472
approximate,1472
overview netapp,1472
cluster rac,1472
real application cluster,1472
use best practices,1472
oltp workload,1472
nfs server,1471
adding flash,1471
software iscsi,1471
database 11g,1470
adding flash cache,1470
effectiveness flash,1470
oracle database 11g,1470
cache flash cache,1470
essential information,1470
effectiveness flash cache,1470
job role,1470
flash pool aggregates,1469
performance way,1469
netapp logo,1469
deploying flash,1469
environments fibre,1469
predictive cache,1469
cache statistics,1469
pool aggregates,1469
predictive cache statistics,1469
deploying flash pool,1469
isolation refers clustered,1468
secure multi-tenancy using,1468
covers netapp,1468
refers clustered data,1468
unless specified term,1468
netapp predictive,1468
cache statistics pcs,1468
multi-tenancy using,1468
understanding flash,1468
using oltp,1468
isolation refers,1468
netapp predictive cache,1468
report covers,1468
paper unless specified,1468
term data ontap,1468
data ontap isolation,1468
term data,1468
using oltp workload,1468
specified term,1468
ontap isolation refers,1468
direct nfs,1468
paper unless,1468
ontap isolation,1468
ontap 8.1.1 7-mode,1468
specified term data,1468
database administrator,1468
refers clustered,1468
pool technology works,1468
oracle 11g,1468
considerations deploying,1468
unless specified,1468
statistics pcs,1468
8.1.1 7-mode,1468
ethernet fcoe software,1467
intelligent caching provide,1467
technology works use,1467
gains adding,1467
using storage virtual,1467
oltp workload running,1467
rac using oltp,1467
details steps,1467
database 11g release,1467
apr 19,1467
provides essential information,1467
gains adding flash,1467
implementation secure multi-tenancy,1467
caching provide firm,1467
cache sizes measure,1467
