keywords,value
netapp,100988
data,68848
storage,51748
cloud,24743
ontap,22448
data ontap,19321
solutions,17201
solution,16491
performance,15677
customers,15295
clustered,14937
clustered data,14277
flash,14043
management,13979
information,13945
center,13906
results,13110
clustered data ontap,12806
using,12141
technology,11981
10,11598
oracle,11443
software,11130
best,11044
infrastructure,10983
date,10846
flexpod,10493
data center,10138
title,10052
cisco,9979
newest,9891
oldest,9826
cache,9781
manager,9671
enterprise,8927
products,8742
report,8688
systems,8560
provide,8490
provides,8475
practices,8403
use,8354
microsoft,8312
best practices,8199
support,8172
design,8129
applications,8122
secure,7697
service,7595
virtual,7521
vmware,7479
architecture,7370
efficiency,7285
partners,7234
application,7164
technical,7134
netapp clustered,6783
environments,6755
netapp clustered data,6632
describes,6599
25,6588
available,6566
flash cache,6367
trademarks,6354
help,6352
organizations,6065
database,6060
platform,6054
network,5988
server,5952
100,5876
deliver,5825
program,5823
operations,5778
work,5737
president,5700
data management,5698
time,5694
director,5633
customer,5622
needs,5515
netapp storage,5482
deployment,5481
company,5401
50,5398
ability,5327
netapp's,5279
citrix,5236
providers,5219
page,5194
need,5183
partner,5179
including,5159
graphics,5115
backup,5112
cost,5107
vice,5004
value,5000
faster,4993
vice president,4965
2016,4938
requirements,4913
sort,4910
relevance,4909
newest title ascending,4907
results page,4907
relevance date,4907
oldest newest,4907
title ascending title,4907
oldest date oldest,4907
newest oldest date,4907
oldest newest title,4907
title descending,4907
descending,4907
ascending title descending,4907
newest title,4907
ascending title,4907
ascending,4907
newest oldest,4907
date oldest newest,4907
companies,4907
title ascending,4907
date newest,4907
relevance date newest,4907
date newest oldest,4907
date oldest,4907
oldest date,4907
10 25,4885
sort relevance date,4880
25 50,4880
sort relevance,4880
page 10,4880
page 10 25,4880
10 25 50,4880
results page 10,4880
considerations,4860
access,4852
results 10,4847
pool,4838
sales,4789
environment,4780
50 100,4697
100 sort,4682
100 sort relevance,4682
25 50 100,4682
50 100 sort,4682
year,4661
flash pool,4633
administrator,4630
