keywords,value
netapp,100988
data,68848
storage,51748
cloud,24743
ontap,22448
data ontap,19321
solutions,17201
solution,16491
performance,15677
customers,15295
clustered,14937
clustered data,14277
flash,14043
management,13979
information,13945
center,13906
results,13110
clustered data ontap,12806
using,12141
technology,11981
10,11598
oracle,11443
software,11130
best,11044
infrastructure,10983
date,10846
flexpod,10493
data center,10138
title,10052
cisco,9979
newest,9891
oldest,9826
cache,9781
manager,9671
enterprise,8927
products,8742
report,8688
systems,8560
provide,8490
provides,8475
practices,8403
use,8354
microsoft,8312
best practices,8199
support,8172
design,8129
applications,8122
secure,7697
service,7595
virtual,7521
vmware,7479
architecture,7370
efficiency,7285
partners,7234
application,7164
technical,7134
netapp clustered,6783
environments,6755
netapp clustered data,6632
describes,6599
25,6588
available,6566
flash cache,6367
trademarks,6354
help,6352
organizations,6065
database,6060
platform,6054
network,5988
server,5952
100,5876
deliver,5825
program,5823
operations,5778
work,5737
president,5700
data management,5698
time,5694
director,5633
customer,5622
needs,5515
netapp storage,5482
deployment,5481
company,5401
50,5398
ability,5327
netapp's,5279
citrix,5236
providers,5219
page,5194
need,5183
partner,5179
including,5159
graphics,5115
backup,5112
cost,5107
vice,5004
value,5000
faster,4993
vice president,4965
2016,4938
requirements,4913
sort,4910
relevance,4909
newest title ascending,4907
results page,4907
relevance date,4907
oldest newest,4907
title ascending title,4907
oldest date oldest,4907
newest oldest date,4907
oldest newest title,4907
title descending,4907
descending,4907
ascending title descending,4907
newest title,4907
ascending title,4907
ascending,4907
newest oldest,4907
date oldest newest,4907
companies,4907
title ascending,4907
date newest,4907
relevance date newest,4907
date newest oldest,4907
date oldest,4907
oldest date,4907
10 25,4885
sort relevance date,4880
25 50,4880
sort relevance,4880
page 10,4880
page 10 25,4880
10 25 50,4880
results page 10,4880
considerations,4860
access,4852
results 10,4847
pool,4838
sales,4789
environment,4780
50 100,4697
100 sort,4682
100 sort relevance,4682
25 50 100,4682
50 100 sort,4682
year,4661
flash pool,4633
administrator,4630
2012,4584
7-mode,4503
datacenter,4465
configuration,4444
marketing,4435
st,4372
implementation,4364
grid,4325
able,4216
netapp netapp,4123
fibre,4120
flexpod datacenter,4099
product,4097
2015,4061
guide,4057
running,4051
xendesktop,4039
world,4031
citrix xendesktop,3975
integrated,3973
operating,3971
million,3959
workloads,3944
high,3942
increase,3940
costs,3924
technologies,3914
nvidia,3911
nvidia grid,3901
xendesktop nvidia,3899
xendesktop nvidia grid,3899
datacenter citrix,3898
datacenter citrix xendesktop,3898
flexpod datacenter citrix,3898
citrix xendesktop nvidia,3898
grid solution,3896
nvidia grid solution,3896
nfs,3869
virtualization,3851
commvault,3828
unified,3817
reduce,3813
shared,3805
copies,3781
delivering,3778
allows,3738
create,3711
protection,3711
important,3694
private,3635
meet,3620
overview,3588
deduplication,3571
storage data,3565
netapp data,3536
2013,3519
innovative,3512
computing,3506
technical report,3497
today,3490
said,3489
way,3425
professional,3424
staff,3397
storage data management,3380
intellisnap,3377
commvault intellisnap netapp,3372
intellisnap netapp,3372
commvault intellisnap,3372
features,3365
benefits,3358
global,3354
registered,3327
oracle database,3322
accelerate,3273
mar,3263
architectural,3245
development,3243
measure,3223
helps,3200
appliance,3193
document,3176
university,3174
availability,3159
rac,3157
files,3156
verified,3150
growth,3147
make,3135
offer,3135
key,3127
mirantis,3122
great,3109
recovery,3057
manage,3048
u.s,3045
vsphere,3041
considerations best,3032
considerations best practices,3032
deploying,3030
design considerations,3013
eliminate,3009
learn,2992
integration,2976
rac using,2964
pcs,2955
registered trademarks,2950
helping,2949
personal,2944
11g,2938
success,2937
vmware vsphere,2932
content,2929
rapid,2926
offers,2924
option,2918
16,2916
news,2913
efficient,2897
non-technical,2888
procurement,2878
fc,2867
operational,2866
marketing sales,2833
manager manager,2831
enables,2799
executive,2797
security,2789
selected,2775
ethernet,2765
share,2759
release,2757
data protection,2757
iscsi,2742
hybrid,2739
based,2736
personal data,2733
trademarks registered,2725
trademarks registered trademarks,2719
providing,2703
inside,2701
solution allows,2696
feb,2688
fast,2687
infrastructures,2674
compression,2665
enable,2631
eliminate need,2628
network appliance,2619
provider,2600
large,2600
inside data,2599
sales organizations,2597
secure inside data,2596
inside data center,2596
grid solution allows,2596
allows important,2596
files flexpod datacenter,2596
secure inside,2596
solution allows important,2596
files flexpod,2596
cloud platform,2595
high-performance,2591
marketing sales organizations,2588
view,2585
cisco netapp,2584
build,2577
remains,2571
microsoft cloud,2552
management solutions,2545
interactive,2539
fcoe,2534
clinical,2529
paper,2529
microsoft cloud platform,2521
cca microsoft cloud,2518
cca,2518
cca microsoft,2518
leading,2514
ontap software,2511
cloud architecture,2498
service providers,2493
events,2490
process,2485
team,2478
capacity,2473
oncommand,2469
/option,2469
openstack,2467
nasdaq,2465
storage systems,2456
16 2015,2449
flexibility,2445
remains secure,2442
mar 16,2441
mar 16 2015,2441
surveys,2439
option value,2432
capabilities,2430
/option option,2422
/option option value,2422
users,2413
exchange,2406
innovation,2384
highly,2366
statements,2365
netapp selected,2361
cisco cloud,2356
cisco cloud architecture,2356
use personal,2355
