keywords,value
stem,22
students,14
space,11
education,9
learning,9
science,9
teachers,6
math,6
department,5
world,5
program,5
technology,4
improving,4
president,4
obama,4
priority,4
engineering,4
subjects,4
youth,3
educators,3
federal,3
fields,3
increase,3
chance,3
programs,3
know,3
opportunities,3
quality,3
instruction,2
american,2
tomorrow,2
resources,2
innovators,2
states,2
critical,2
national,2
across,2
partnerships,2
young,2
providing,2
helping,2
focused,2
today,2
increasing,2
commitment,2
skills,2
facilitating,2
experiences,2
school,2
television,2
engineers,2
teacher,2
high-quality,2
systems,2
made,2
teaching,2
development,2
global,2
people,2
think,2
effective,2
agencies,2
number,2
scientists,2
engagement,2
supporting,2
also,2
access,2
approach,2
grant,2
solve,2
periodic,1
expertise,1
articulated,1
subject,1
often,1
include,1
analysts,1
11,1
sense,1
groups,1
graduate,1
pipeline,1
2020,1
set,1
formal,1
biomedical,1
complex,1
occupations,1
schools,1
success,1
component,1
uniquely,1
within,1
museum,1
fact,1
i3,1
becoming,1
driven,1
toward,1
collaborating,1
hands-on,1
barack,1
facing,1
everywhere,1
administration,1
must,1
settings,1
become,1
study,1
represents,1
united,1
new,1
community,1
promote,1
21st,1
achievement,1
park,1
inside,1
ways,1
hispanic-serving,1
software,1
demonstrated,1
careers,1
table,1
bring,1
disciplines,1
problems,1
grade,1
equitable,1
evaluate,1
decade,1
fund,1
increasingly,1
move,1
top,1
leadership,1
innovative,1
out-of-school,1
genius,1
competitive,1
impact,1
library,1
reach,1
initiative,1
native-american,1
talented,1
tough,1
support,1
outside,1
full,1
comprised,1
mathematics,1
evidence,1
race,1
content,1
sampling,1
capacity,1
digital,1
62%,1
institutions-stem,1
practices,1
developers,1
proficient,1
costem,1
six,1
work,1
equipped,1
explore,1
gather,1
350,1
dozens,1
make,1
needs,1
ensure,1
skilled,1
higher,1
like,1
types,1
training,1
instructional,1
prepared,1
part,1
meet,1
12th,1
low-income,1
projected,1
underrepresented,1
undergraduate,1
ensuring,1
technologies,1
adoption,1
properties,1
engage,1
investing,1
promoting,1
including,1
enough,1
way,1
14%,1
inadequate,1
36%,1
mission-science,1
springboards,1
challenges,1
funds,1
23,1
studying,1
deeply,1
areas,1
right,1
institute,1
16%,1
goal,1
ready-to-learn,1
sustaining,1
dissemination,1
strategy,1
large,1
nasa,1
inspired,1
leaders,1
increases,1
share,1
supported,1
march,1
ever,1
developed,1
year,1
repurposed,1
public,1
22%,1
media,1
student,1
nation,1
tomorrow's,1
announced,1
courses,1
cohesive,1
country,1
leader,1
competitiveness,1
competition,1
top-district,1
see,1
goals,1
personalized,1
potential,1
clear,1
knowledge,1
places,1
serving,1
plan,1
high-need,1
hard,1
vital,1
incentive,1
degrees,1
known,1
happens,1
committee,1
interests,1
centers,1
important,1
pursue,1
need,1
approaches,1
middle,1
experience,1
receiving,1
percentage,1
pack,1
investments,1
better,1
yet,1
jobs,1
service,1
computer,1
preschool,1
attaining,1
assist,1
services,1
waves,1
2015,1
hispanic,1
implementing,1
well,1
pressing,1
time,1
tailored,1
change,1
funding,1
workforce,1
working,1
understand,1
32%,1
learn,1
13,1
medical,1
five,1
fairness,1
sites,1
prioritize,1
information,1
century,1
first,1
environment,1
2010,1
designing,1
individual,1
nationwide,1
pace,1
researchers,1
supports,1
innovation,1
collectively,1
distribution,1
historically,1
